Date,Confirmed,Recovered,Deceased
2020-03-15,5,0,0
2020-03-16,6,0,0
2020-03-17,7,0,1
2020-03-18,8,0,1
2020-03-19,9,0,1
2020-03-20,11,0,1
2020-03-21,19,0,1
2020-03-22,24,0,2
2020-03-23,37,0,3
2020-03-24,41,0,4
2020-03-25,43,0,4
2020-03-26,52,0,4
2020-03-27,58,0,4
2020-03-28,73,0,4
2020-03-29,88,0,5
2020-03-30,126,15,7
2020-03-31,151,16,8
2020-04-01,181,17,14
2020-04-02,235,18,18
2020-04-03,278,20,19
2020-04-04,330,34,23
2020-04-05,433,54,31
2020-04-06,490,59,35
2020-04-07,590,59,40
2020-04-08,696,59,45
2020-04-09,775,65,54
2020-04-10,993,69,64
2020-04-11,1182,71,75
2020-04-12,1399,97,91
2020-04-13,1549,141,100
2020-04-14,1753,164,111
2020-04-15,1936,181,113
2020-04-16,2043,202,116
2020-04-17,2120,239,121
2020-04-18,2509,281,125
2020-04-19,2798,310,131
2020-04-20,3090,394,138
2020-04-21,3445,408,150
2020-04-22,3754,425,160
2020-04-23,4232,473,168
2020-04-24,4589,595,179
2020-04-25,4870,762,191
2020-04-26,5194,897,204
2020-04-27,5589,1015,219
2020-04-28,5982,1234,244
2020-04-29,6457,1427,270
2020-04-30,6874,1472,290
2020-05-01,7625,1567,295
2020-05-02,8172,1704,322
2020-05-03,8613,1804,343
2020-05-04,9123,1908,361
2020-05-05,9758,2128,387
2020-05-06,10527,2287,412
2020-05-07,11219,2435,437
2020-05-08,11967,2589,462
2020-05-09,12689,2792,489
2020-05-10,13564,3004,508
2020-05-11,14355,3110,528
2020-05-12,14781,3313,556
2020-05-13,15581,3791,596
2020-05-14,16579,4234,621
2020-05-15,17512,4568,655
2020-05-16,18396,4806,696
2020-05-17,19967,5012,734
2020-05-18,21152,5516,757
2020-05-19,22563,6116,800
2020-05-20,23935,6466,841
2020-05-21,25317,6751,882
2020-05-22,27068,7080,909
2020-05-23,28634,7476,949
2020-05-24,30359,8074,988
2020-05-25,31789,8404,1026
2020-05-26,32791,8814,1065
2020-05-27,33835,9054,1097
2020-05-28,35273,9817,1135
2020-05-29,36710,16008,1173
2020-05-30,38220,16364,1227
2020-05-31,39464,16794,1279
2020-06-01,40877,16987,1319
2020-06-02,41986,17213,1368
2020-06-03,43262,17472,1417
2020-06-04,44704,18098,1465
2020-06-05,45854,18797,1518
2020-06-06,47128,19978,1575
2020-06-07,48549,21196,1636
2020-06-08,49863,22038,1700
2020-06-09,50878,22942,1758
2020-06-10,52445,23693,1855
2020-06-11,53985,24209,1952
2020-06-12,55357,25152,2042
2020-06-13,56740,25947,2111
2020-06-14,58135,26986,2190
2020-06-15,59201,30125,2248
2020-06-16,60142,31040,3165
2020-06-17,61501,31338,3242
2020-06-18,62799,31856,3309
2020-06-19,64068,32257,3423
2020-06-20,65265,32867,3559
2020-06-21,66507,33491,3669
2020-06-22,67635,34119,3735
2020-06-23,68481,34576,3842
2020-06-24,69625,37010,3962
2020-06-25,70990,39151,4060
2020-06-26,72287,39744,4177
2020-06-27,73747,42331,4282
2020-06-28,75047,43154,4369
2020-06-29,76294,43545,4461
2020-06-30,77197,44170,4554
2020-07-01,78708,44791,4629
2020-07-02,80262,50694,4686
2020-07-03,81634,52392,4759
2020-07-04,82814,53463,4827
2020-07-05,84125,55883,4896
2020-07-06,85326,57152,4935
2020-07-07,86132,58137,4999
2020-07-08,87513,59238,5061
2020-07-09,88795,59751,5129
2020-07-10,90149,61934,5202
2020-07-11,91457,63431,5241
2020-07-12,92720,64872,5285
2020-07-13,93894,65622,5332
2020-07-14,94863,66633,5402
2020-07-15,96253,67830,5464
2020-07-16,97751,68537,5520
2020-07-17,98979,69340,5582
2020-07-18,100178,70492,5647
2020-07-19,101224,71685,5711
2020-07-20,102267,72650,5752
2020-07-21,103262,73555,5814
2020-07-22,104572,75118,5872
2020-07-23,105829,77102,5927
2020-07-24,106891,78260,5981
2020-07-25,107981,78877,6033
2020-07-26,109096,80238,6090
2020-07-27,110129,81944,6129
2020-07-28,110846,84411,6184
2020-07-29,111964,85327,6244
2020-07-30,113187,86385,6297
2020-07-31,114287,87074,6350
2020-08-01,115346,87906,6395
2020-08-02,116451,88299,6444
2020-08-03,117421,90089,6490
2020-08-04,118130,90962,6546
2020-08-05,119255,91673,6588
2020-08-06,120165,92661,6645
2020-08-07,121027,93897,6690
2020-08-08,122331,95354,6748
2020-08-09,123397,96586,6796
2020-08-10,124322,97993,6842
2020-08-11,125239,99147,6890
2020-08-12,126371,100070,6940
2020-08-13,127571,100954,6988
2020-08-14,128550,101861,7035
2020-08-15,127716,102749,7083
2020-08-16,128726,103468,7130
2020-08-17,129479,104301,7170
2020-08-18,130410,105193,7219
2020-08-19,131542,106057,7265
2020-08-20,132817,107033,7311
2020-08-21,134223,108268,7353
2020-08-22,135357,109369,7385
2020-08-23,136348,110059,7419
2020-08-24,137091,111084,7439
2020-08-25,137678,111967,7474
2020-08-26,139532,112743,7502
2020-08-27,140882,113577,7532
2020-08-28,142099,114818,7562
2020-08-29,143389,115500,7593
2020-08-30,144626,116351,7623
2020-08-31,145805,117268,7655
