Date,Confirmed,Deceased
2020-03-15,0,0
2020-03-16,3,0
2020-03-17,4,0
2020-03-18,5,693147
2020-03-19,5,693147
2020-03-20,3,693147
2020-03-21,1,693147
2020-03-22,2,1
2020-03-23,1,1
2020-03-24,6,2
2020-03-25,14,693147
2020-03-26,3,693147
2020-03-27,6,693147
2020-03-28,3,693147
2020-03-29,3,3
2020-03-30,1,2
2020-03-31,3,5
2020-04-01,3,1
2020-04-02,2,2
2020-04-03,4,12
2020-04-04,4,3
2020-04-05,2,2
2020-04-06,5,5
2020-04-07,3,5
2020-04-08,4,5
2020-04-09,6,3
2020-04-10,2,4
2020-04-11,3,4
2020-04-12,4,3
2020-04-13,6,7
2020-04-14,5,6
2020-04-15,6,38
2020-04-16,12,26
2020-04-17,18,16
2020-04-18,4,21
2020-04-19,6,14
2020-04-20,6,13
2020-04-21,6,8
2020-04-22,8,10
2020-04-23,5,14
2020-04-24,8,10
2020-04-25,11,10
2020-04-26,10,10
2020-04-27,9,9
2020-04-28,10,6
2020-04-29,9,6
2020-04-30,11,9
2020-05-01,6,40
2020-05-02,10,7
2020-05-03,13,10
2020-05-04,12,13
2020-05-05,10,9
2020-05-06,9,11
2020-05-07,10,11
2020-05-08,10,12
2020-05-09,11,12
2020-05-10,10,18
2020-05-11,12,17
2020-05-12,23,13
2020-05-13,13,9
2020-05-14,11,16
2020-05-15,12,13
2020-05-16,14,11
2020-05-17,8,13
2020-05-18,12,22
2020-05-19,10,12
2020-05-20,11,13
2020-05-21,12,14
2020-05-22,10,22
2020-05-23,12,16
2020-05-24,11,17
2020-05-25,15,18
2020-05-26,22,18
2020-05-27,22,23
2020-05-28,16,20
2020-05-29,17,21
2020-05-30,17,15
2020-05-31,21,16
2020-06-01,19,22
2020-06-02,25,19
2020-06-03,23,19
2020-06-04,21,20
2020-06-05,27,19
2020-06-06,25,18
2020-06-07,23,18
2020-06-08,25,18
2020-06-09,34,20
2020-06-10,22,12
2020-06-11,23,13
2020-06-12,27,15
2020-06-13,28,20
2020-06-14,28,18
2020-06-15,38,26
2020-06-16,43,2
2020-06-17,31,28
2020-06-18,33,33
2020-06-19,34,20
2020-06-20,37,17
2020-06-21,36,22
2020-06-22,41,38
2020-06-23,55,24
2020-06-24,41,22
2020-06-25,35,28
2020-06-26,38,24
2020-06-27,34,27
2020-06-28,39,34
2020-06-29,42,33
2020-06-30,58,33
2020-07-01,35,42
2020-07-02,35,56
2020-07-03,40,44
2020-07-04,48,48
2020-07-05,44,48
2020-07-06,48,87
2020-07-07,73,53
2020-07-08,43,56
2020-07-09,47,51
2020-07-10,45,49
2020-07-11,48,92
2020-07-12,50,82
2020-07-13,55,78
2020-07-14,67,53
2020-07-15,47,60
2020-07-16,44,67
2020-07-17,55,62
2020-07-18,57,59
2020-07-19,66,61
2020-07-20,67,96
2020-07-21,71,64
2020-07-22,54,69
2020-07-23,58,74
2020-07-24,69,76
2020-07-25,68,80
2020-07-26,67,73
2020-07-27,73,108
2020-07-28,106,77
2020-07-29,69,71
2020-07-30,63,82
2020-07-31,71,82
2020-08-01,75,98
2020-08-02,72,90
2020-08-03,83,97
2020-08-04,115,80
2020-08-05,73,108
2020-08-06,91,80
2020-08-07,96,102
2020-08-08,64,80
2020-08-09,79,97
2020-08-10,92,102
2020-08-11,94,99
2020-08-12,77,95
2020-08-13,73,100
2020-08-14,90,103
2020-08-15,-106,101
2020-08-16,87,104
2020-08-17,118,123
2020-08-18,96,101
2020-08-19,80,109
2020-08-20,71,109
2020-08-21,65,121
2020-08-22,82,159
2020-08-23,95,150
2020-08-24,127,257
2020-08-25,162,147
2020-08-26,51,185
2020-08-27,71,173
2020-08-28,80,174
2020-08-29,76,169
2020-08-30,80,175
2020-08-31,85,165
2020-09-01,88,151
2020-09-02,63,157
2020-09-03,67,145
2020-09-04,54,154
2020-09-05,62,164
2020-09-06,56,147
2020-09-07,60,176
2020-09-08,81,130
2020-09-09,55,128
2020-09-10,47,145
2020-09-11,52,126
2020-09-12,49,133
2020-09-13,56,137
2020-09-14,52,182
2020-09-15,75,116
2020-09-16,51,114
2020-09-17,51,133
2020-09-18,54,111
2020-09-19,81,116
2020-09-20,56,133
2020-09-21,69,163
2020-09-22,79,125
2020-09-23,55,114
2020-09-24,61,110
2020-09-25,71,125
2020-09-26,59,137
2020-09-27,60,138
2020-09-28,67,152
2020-09-29,81,125
2020-09-30,53,134
2020-10-01,60,144
2020-10-02,59,148
2020-10-03,60,136
2020-10-04,70,131
2020-10-05,146,134
2020-10-06,92,135
2020-10-07,53,138
2020-10-08,54,133
2020-10-09,67,137
2020-10-10,71,135
